datetime,cube,num_solves,average,std
2008-01-19,1,6,73.00,9.94
2008-01-30,1,6,66.17,15.03
2008-01-30,1,6,60.33,7.00
2008-01-30,1,9,59.33,8.35
2008-04-30 19:06:51,1,5,28.21,02.78
2008-05-01 20:50:22,1,12,33.03,03.99
2008-05-01 21:05:31,1,12,29.60,02.05
2008-05-01 21:27:03,1,12,29.30,02.07
2008-05-03 20:22:29,1,9,28.91,05.20
2008-05-04 14:52:27,1,12,28.56,03.53
2008-05-20 00:12:33,1,12,27.95,03.36
2008-05-23 19:55:17,1,12,26.52,03.19
2008-05-29 22:27:48,1,12,26.52,02.69
2008-06-01 19:03:30,1,12,26.50,02.55
2008-06-04 23:59:02,1,12,26.87,03.29
2008-06-06 20:47:55,1,12,26.88,02.98
2008-06-07 19:55:57,1,12,25.80,04.16
2008-06-12 19:37:10,1,12,26.23,02.11
2008-06-12 20:04:08,1,12,26.32,02.22
2008-06-13 20:50:05,1,12,22.93,01.80
2008-06-21 19:25:24,1,12,25.24,01.87
2008-06-22 18:31:12,1,12,23.53,02.40
2008-06-22 18:45:37,1,12,24.02,02.20
2008-06-25 21:03:09,1,8,24.94,02.18
2008-06-30 21:34:47,1,12,24.71,00.87
2008-07-01 18:38:08,1,12,24.13,01.42
2008-07-17 23:05:27,1,5,23.77,02.09
2008-07-22 19:19:17,1,12,23.18,02.14
2008-07-28 22:56:26,1,12,23.32,02.00
2008-07-31 21:21:53,1,5,21.87,01.82
2008-08-01 15:38:36,1,12,23.00,01.82
2008-08-01 15:53:54,1,12,23.30,01.66
2008-08-03 18:42:35,1,12,22.53,02.70
2008-08-04 17:39:51,1,12,23.18,01.06
2008-08-07 22:24:10,1,12,23.41,02.15
2008-08-15 20:24:53,1,12,22.49,01.50
2008-08-18 22:42:03,1,12,21.88,01.88
2008-09-12 23:21:27,1,12,22.01,01.77
2008-09-25 20:18:54,1,12,22.60,02.26
2008-09-26 22:42:07,1,12,23.25,01.92
2008-09-28 19:38:54,1,12,21.02,02.37
2008-10-16 19:27:20,1,12,21.56,02.06
2008-10-18 14:15:14,1,10,21.30,01.88
2008-10-26 00:43:38,1,12,22.84,02.39
2008-11-08 14:41:54,1,12,20.68,01.07
2008-11-16 16:04:38,1,12,21.04,01.77
2008-11-19 19:19:11,1,12,22.13,02.31
2008-11-29 19:27:05,2,12,22.59,01.42
2008-11-29 19:39:48,1,12,21.09,02.90
2008-12-04 23:00:20,1,12,21.53,01.22
2008-12-05 22:17:28,1,12,20.69,00.78
2008-12-07 23:48:15,1,12,19.99,01.57
2008-12-08 21:42:59,2,12,21.01,01.65
2008-12-13 16:19:02,1,12,20.80,01.25
2008-12-15 19:57:56,1,12,21.27,02.21
2008-12-15 20:10:24,2,12,20.14,02.07
2008-12-18 22:30:54,2,12,21.16,01.36
2008-12-20 13:30:22,1,12,21.60,02.04
2008-12-21 01:01:53,2,12,19.97,01.66
2008-12-21 17:55:27,2,12,20.34,02.03
2008-12-23 19:02:25,2,12,19.62,01.55
2008-12-24 18:51:29,2,12,20.13,02.38
2008-12-24 19:04:34,1,12,20.14,01.72
2008-12-25 13:59:43,2,12,19.44,01.86
2008-12-27 00:48:19,2,12,20.27,01.82
2008-12-27 19:00:51,2,12,18.82,01.35
2009-01-02 00:14:16,2,12,20.11,02.67
2009-01-02 15:40:39,2,5,19.45,01.87
2009-01-02 15:49:44,2,5,20.37,02.59
2009-01-02 15:58:15,2,5,19.52,01.01
2009-01-02 16:07:40,2,5,19.44,01.07
2009-01-03 17:00:38,2,12,18.53,00.95
2009-01-04 00:48:22,1,12,20.29,00.85
2009-01-04 00:58:43,2,12,19.83,01.87
2009-01-05 21:46:29,2,12,19.82,01.91
2009-01-09 23:04:35,2,12,21.48,01.38
2009-01-11 22:57:21,2,10,20.77,02.72
2009-01-14 21:56:33,2,12,19.83,01.70
2009-01-16 21:10:43,2,12,19.08,00.98
2009-01-17 19:01:55,2,12,19.44,02.41
2009-01-17 19:13:20,2,12,18.52,01.29
2009-01-18 21:04:20,2,12,19.56,01.84
2009-01-21 18:19:30,2,12,19.60,01.57
2009-01-27 19:54:13,2,12,19.76,01.51
2009-01-28 19:00:48,2,12,19.94,01.97
2009-01-30 22:42:21,2,12,19.62,01.67
2009-01-30 22:54:15,2,12,18.95,01.69
2009-02-04 20:00:55,2,12,18.95,00.98
2009-02-08 21:12:22,2,12,19.30,01.39
2009-02-12 00:39:42,2,12,19.26,01.53
2009-02-12 20:42:24,2,12,18.14,01.69
